date,new_cases,new_deaths
2023-08-29,189,0
2023-08-30,204,0
2023-08-31,184,1
2023-09-01,154,0
2023-09-02,126,0
2023-09-03,109,0
2023-09-04,112,0
2023-09-05,252,0
2023-09-06,245,0
2023-09-07,180,0
2023-09-08,152,0
2023-09-09,114,0
2023-09-10,96,0
2023-09-11,145,0
2023-09-12,189,1
2023-09-13,182,1
2023-09-14,181,0
2023-09-15,147,0
2023-09-16,101,0
2023-09-17,96,0
2023-09-18,167,0
2023-09-19,199,0
2023-09-20,160,1
2023-09-21,126,0
2023-09-22,107,0
2023-09-23,78,0
2023-09-24,74,0
2023-09-25,90,0
2023-09-26,34,0
,1602,0
