date,total_cases,new_cases,total_deaths,new_deaths
2020-07-23,148854.0,4272.0,1187.0,31.0
2020-07-24,153020.0,4166.0,1326.0,139.0
2020-07-25,156821.0,3801.0,1535.0,209.0
2020-07-26,160154.0,3333.0,1564.0,29.0
2020-07-27,162319.0,2165.0,1625.0,61.0
2020-07-28,164584.0,2265.0,1680.0,55.0
2020-07-29,168369.0,3785.0,1836.0,156.0
2020-07-30,171574.0,3205.0,1932.0,96.0
2020-07-31,175272.0,3698.0,2035.0,103.0
2020-08-01,178119.0,2847.0,2075.0,40.0
2020-08-02,180532.0,2413.0,2115.0,40.0
2020-08-03,181946.0,1414.0,2152.0,37.0
2020-08-04,183090.0,1144.0,2268.0,116.0
2020-08-05,185282.0,2192.0,2313.0,45.0
2020-08-06,187631.0,2349.0,2388.0,75.0
2020-08-07,189159.0,1528.0,2524.0,136.0
2020-08-08,190999.0,1840.0,2547.0,23.0
2020-08-09,192767.0,1768.0,2579.0,32.0
2020-08-10,193561.0,794.0,2618.0,39.0
2020-08-11,194093.0,532.0,2653.0,35.0
2020-08-12,194685.0,592.0,2761.0,108.0
2020-08-13,195820.0,1135.0,2791.0,30.0
2020-08-14,197531.0,1711.0,2867.0,76.0
2020-08-15,198671.0,1140.0,2888.0,21.0
2020-08-16,199635.0,964.0,2915.0,27.0
2020-08-17,200237.0,602.0,2929.0,14.0
2020-08-18,200949.0,712.0,3018.0,89.0
2020-08-19,202011.0,1062.0,3061.0,43.0
2020-08-20,202955.0,944.0,3144.0,83.0
2020-08-21,203832.0,877.0,3190.0,46.0
2020-08-22,205246.0,1414.0,3227.0,37.0
2020-08-23,206018.0,772.0,3268.0,41.0
2020-08-24,206525.0,507.0,3280.0,12.0
2020-08-25,206892.0,367.0,3334.0,54.0
2020-08-26,207610.0,718.0,3395.0,61.0
2020-08-27,208156.0,546.0,3428.0,33.0
2020-08-28,208579.0,423.0,3475.0,47.0
2020-08-29,209123.0,544.0,3556.0,81.0
2020-08-30,209648.0,525.0,3572.0,16.0
2020-08-31,210169.0,521.0,3592.0,20.0
2020-09-01,210518.0,349.0,3631.0,39.0
2020-09-02,211157.0,639.0,3680.0,49.0
2020-09-03,211678.0,521.0,3730.0,50.0
2020-09-04,212186.0,508.0,3773.0,43.0
2020-09-05,212564.0,378.0,3789.0,16.0
2020-09-06,212898.0,334.0,3813.0,24.0
2020-09-07,213087.0,189.0,3818.0,5.0
2020-09-08,213333.0,246.0,3833.0,15.0
2020-09-09,213741.0,408.0,3860.0,27.0
2020-09-10,214152.0,411.0,3881.0,21.0
2020-09-11,214486.0,334.0,3900.0,19.0
2020-09-12,214831.0,345.0,3912.0,12.0
2020-09-13,215140.0,309.0,3918.0,6.0
2020-09-14,215307.0,167.0,3921.0,3.0
2020-09-15,215481.0,174.0,3933.0,12.0
2020-09-16,215898.0,417.0,3947.0,14.0
2020-09-17,216341.0,443.0,3960.0,13.0
2020-09-18,216790.0,449.0,4027.0,67.0
2020-09-19,217116.0,326.0,4027.0,0.0
2020-09-20,217370.0,254.0,4030.0,3.0
2020-09-21,217485.0,115.0,4039.0,9.0
2020-09-22,217759.0,274.0,4084.0,45.0
2020-09-23,218115.0,356.0,4095.0,11.0
2020-09-24,218420.0,305.0,4153.0,58.0
2020-09-25,218650.0,230.0,4158.0,5.0
2020-09-26,218861.0,211.0,4201.0,43.0
2020-09-27,219039.0,178.0,4203.0,2.0
2020-09-28,219202.0,163.0,4205.0,2.0
2020-09-29,219373.0,171.0,4233.0,28.0
2020-09-30,219704.0,331.0,4244.0,11.0
2020-10-01,220056.0,352.0,4252.0,8.0
2020-10-02,220365.0,309.0,4260.0,8.0
2020-10-03,220696.0,331.0,4262.0,2.0
2020-10-04,220910.0,214.0,4299.0,37.0
2020-10-05,221061.0,151.0,4304.0,5.0
2020-10-06,221320.0,259.0,4332.0,28.0
2020-10-07,221719.0,399.0,4373.0,41.0
2020-10-08,222038.0,319.0,4386.0,13.0
2020-10-09,222374.0,336.0,4414.0,28.0
2020-10-10,222745.0,371.0,4444.0,30.0
2020-10-11,223011.0,266.0,4450.0,6.0
2020-10-12,223169.0,158.0,4461.0,11.0
2020-10-13,223436.0,267.0,4492.0,31.0
2020-10-14,223863.0,427.0,4527.0,35.0
2020-10-15,224158.0,295.0,4597.0,70.0
2020-10-16,224534.0,376.0,4601.0,4.0
2020-10-17,224863.0,329.0,4618.0,17.0
2020-10-18,225181.0,318.0,4618.0,0.0
2020-10-19,225559.0,378.0,4621.0,3.0
2020-10-20,225734.0,175.0,4673.0,52.0
2020-10-21,226073.0,339.0,4679.0,6.0
2020-10-22,226363.0,290.0,4693.0,14.0
2020-10-23,226695.0,332.0,4696.0,3.0
2020-10-24,226963.0,268.0,4701.0,5.0
2020-10-25,227193.0,230.0,4703.0,2.0
2020-10-26,227350.0,157.0,4707.0,4.0
2020-10-27,227559.0,209.0,4711.0,4.0
2020-10-28,227833.0,274.0,4713.0,2.0
2020-10-29,228128.0,295.0,4717.0,4.0
2020-10-30,228432.0,304.0,4719.0,2.0
2020-10-31,228756.0,324.0,4721.0,2.0
2020-11-01,228948.0,192.0,4828.0,107.0
2020-11-02,229040.0,92.0,4828.0,0.0
2020-11-03,229220.0,180.0,4836.0,8.0
2020-11-04,229490.0,270.0,4845.0,9.0
2020-11-05,229702.0,212.0,4852.0,7.0
2020-11-06,229954.0,252.0,4859.0,7.0
2020-11-07,230165.0,211.0,4861.0,2.0
2020-11-08,230299.0,134.0,4862.0,1.0
2020-11-09,230412.0,113.0,4863.0,1.0
2020-11-10,230559.0,147.0,4870.0,7.0
2020-11-11,230834.0,275.0,4872.0,2.0
2020-11-12,231074.0,240.0,4873.0,1.0
2020-11-13,231277.0,203.0,4877.0,4.0
2020-11-14,231479.0,202.0,4877.0,0.0
2020-11-15,231643.0,164.0,4882.0,5.0
2020-11-16,231733.0,90.0,4889.0,7.0
2020-11-17,231860.0,127.0,4931.0,42.0
2020-11-18,232147.0,287.0,4935.0,4.0
2020-11-19,232388.0,241.0,4958.0,23.0
2020-11-20,232653.0,265.0,4960.0,2.0
2020-11-21,232856.0,203.0,4960.0,0.0
2020-11-22,233036.0,180.0,4968.0,8.0
2020-11-23,233164.0,128.0,4970.0,2.0
2020-11-24,233343.0,179.0,4989.0,19.0
2020-11-25,233710.0,367.0,4996.0,7.0
2020-11-26,233995.0,285.0,5001.0,5.0
2020-11-27,234305.0,310.0,5004.0,3.0
2020-11-28,234572.0,267.0,5005.0,1.0
2020-11-29,234831.0,259.0,5006.0,1.0
2020-11-30,234957.0,126.0,5009.0,3.0
2020-12-01,235193.0,236.0,5014.0,5.0
2020-12-02,235664.0,471.0,5018.0,4.0
2020-12-03,236086.0,422.0,5026.0,8.0
2020-12-04,236653.0,567.0,5032.0,6.0
2020-12-05,237207.0,554.0,5039.0,7.0
2020-12-06,237719.0,512.0,5040.0,1.0
2020-12-07,238256.0,537.0,5042.0,2.0
2020-12-08,239099.0,843.0,5053.0,11.0
2020-12-09,240261.0,1162.0,5069.0,16.0
2020-12-10,241495.0,1234.0,5077.0,8.0
2020-12-11,242902.0,1407.0,5097.0,20.0
2020-12-12,244242.0,1340.0,5108.0,11.0
2020-12-13,245360.0,1118.0,5111.0,3.0
2020-12-14,246116.0,756.0,5115.0,4.0
2020-12-15,247394.0,1278.0,5125.0,10.0
2020-12-16,249181.0,1787.0,5135.0,10.0
2020-12-17,250910.0,1729.0,5146.0,11.0
2020-12-18,252390.0,1480.0,5161.0,15.0
2020-12-19,254649.0,2259.0,5179.0,18.0
2020-12-20,256595.0,1946.0,5180.0,1.0
2020-12-21,258202.0,1607.0,5196.0,16.0
2020-12-22,259962.0,1760.0,5226.0,30.0
2020-12-23,263166.0,3204.0,5260.0,34.0
2020-12-24,266296.0,3130.0,5282.0,22.0
2020-12-25,269889.0,3593.0,5305.0,23.0
2020-12-26,272504.0,2615.0,5317.0,12.0
2020-12-27,274272.0,1768.0,5334.0,17.0
2020-12-28,276133.0,1861.0,5356.0,22.0
2020-12-29,278516.0,2383.0,5424.0,68.0
2020-12-30,282642.0,4126.0,5465.0,41.0
2020-12-31,287018.0,4376.0,5549.0,84.0
