date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-06-08,-22.0,-8.0,43.0,-48.0,-44.0,14.0
2020-06-09,-27.0,-13.0,-7.0,-52.0,-46.0,17.0
2020-06-10,-24.0,-8.0,6.0,-50.0,-45.0,16.0
2020-06-11,-21.0,-4.0,61.0,-44.0,-44.0,14.0
2020-06-12,-24.0,-8.0,45.0,-41.0,-43.0,13.0
2020-06-13,-26.0,-4.0,74.0,-26.0,-13.0,5.0
2020-06-14,-24.0,-9.0,119.0,-33.0,-17.0,4.0
2020-06-15,-20.0,-11.0,54.0,-44.0,-43.0,13.0
2020-06-16,-19.0,-9.0,67.0,-44.0,-44.0,14.0
2020-06-17,-18.0,-6.0,63.0,-43.0,-44.0,14.0
2020-06-18,-18.0,-1.0,61.0,-44.0,-44.0,14.0
2020-06-19,-21.0,-3.0,60.0,-39.0,-43.0,11.0
2020-06-20,-24.0,3.0,58.0,-28.0,-14.0,4.0
2020-06-21,-25.0,-2.0,104.0,-34.0,-16.0,2.0
2020-06-22,-27.0,-18.0,-1.0,-50.0,-46.0,15.0
2020-06-23,-17.0,-7.0,63.0,-44.0,-45.0,14.0
2020-06-24,-17.0,-8.0,53.0,-45.0,-44.0,14.0
2020-06-25,-17.0,-3.0,74.0,-42.0,-43.0,13.0
2020-06-26,-27.0,-15.0,-11.0,-46.0,-43.0,15.0
2020-06-27,-20.0,-3.0,95.0,-24.0,-13.0,3.0
2020-06-28,-20.0,-9.0,133.0,-33.0,-15.0,3.0
2020-06-29,-19.0,-12.0,14.0,-47.0,-43.0,13.0
2020-06-30,-12.0,-5.0,59.0,-45.0,-43.0,13.0
2020-07-01,-8.0,1.0,67.0,-42.0,-43.0,12.0
2020-07-02,-6.0,9.0,67.0,-39.0,-44.0,11.0
2020-07-03,-11.0,14.0,75.0,-41.0,-60.0,14.0
2020-07-04,-42.0,-7.0,92.0,-35.0,-35.0,4.0
2020-07-05,-27.0,-16.0,109.0,-36.0,-22.0,2.0
2020-07-06,-14.0,-7.0,54.0,-44.0,-46.0,12.0
2020-07-07,-15.0,-5.0,48.0,-44.0,-45.0,13.0
2020-07-08,-13.0,-4.0,56.0,-43.0,-44.0,13.0
2020-07-09,-15.0,-1.0,45.0,-44.0,-43.0,13.0
2020-07-10,-17.0,-4.0,58.0,-42.0,-42.0,12.0
2020-07-11,-19.0,-2.0,104.0,-25.0,-13.0,3.0
2020-07-12,-17.0,-5.0,167.0,-33.0,-17.0,3.0
2020-07-13,-14.0,-6.0,76.0,-45.0,-44.0,11.0
2020-07-14,-13.0,-6.0,80.0,-45.0,-44.0,12.0
2020-07-15,-17.0,-9.0,11.0,-47.0,-43.0,14.0
2020-07-16,-13.0,-1.0,76.0,-44.0,-42.0,12.0
2020-07-17,-17.0,-4.0,76.0,-41.0,-41.0,11.0
2020-07-18,-21.0,-4.0,98.0,-28.0,-14.0,3.0
2020-07-19,-24.0,-12.0,83.0,-40.0,-20.0,5.0
2020-07-20,-14.0,-7.0,70.0,-45.0,-44.0,11.0
2020-07-21,-15.0,-8.0,40.0,-48.0,-44.0,13.0
2020-07-22,-12.0,-5.0,75.0,-45.0,-42.0,12.0
2020-07-23,-13.0,-2.0,84.0,-44.0,-42.0,12.0
2020-07-24,-17.0,-5.0,80.0,-41.0,-41.0,10.0
2020-07-25,-19.0,-3.0,127.0,-25.0,-13.0,2.0
2020-07-26,-20.0,-9.0,129.0,-36.0,-18.0,3.0
2020-07-27,-15.0,-8.0,56.0,-46.0,-44.0,12.0
2020-07-28,-14.0,-7.0,78.0,-45.0,-43.0,12.0
2020-07-29,-14.0,-7.0,53.0,-46.0,-44.0,12.0
2020-07-30,-15.0,-4.0,66.0,-45.0,-43.0,12.0
2020-07-31,-15.0,-6.0,82.0,-40.0,-42.0,10.0
2020-08-01,-19.0,-4.0,102.0,-27.0,-14.0,2.0
2020-08-02,-19.0,-9.0,110.0,-37.0,-18.0,3.0
2020-08-03,-14.0,-6.0,43.0,-46.0,-44.0,12.0
2020-08-04,-12.0,-5.0,81.0,-45.0,-43.0,12.0
2020-08-05,-13.0,-6.0,72.0,-44.0,-43.0,12.0
2020-08-06,-14.0,-2.0,83.0,-43.0,-42.0,12.0
2020-08-07,-17.0,-4.0,86.0,-40.0,-41.0,10.0
2020-08-08,-19.0,-2.0,138.0,-25.0,-14.0,2.0
2020-08-09,-19.0,-7.0,150.0,-34.0,-17.0,2.0
2020-08-10,-25.0,-18.0,12.0,-50.0,-47.0,13.0
2020-08-11,-10.0,-3.0,76.0,-45.0,-45.0,10.0
2020-08-12,-12.0,-4.0,77.0,-45.0,-43.0,10.0
2020-08-13,-15.0,-2.0,71.0,-45.0,-43.0,11.0
2020-08-14,-18.0,-6.0,74.0,-42.0,-41.0,10.0
2020-08-15,-21.0,-5.0,93.0,-28.0,-14.0,2.0
2020-08-16,-18.0,-7.0,168.0,-34.0,-17.0,1.0
2020-08-17,-17.0,-10.0,58.0,-46.0,-44.0,11.0
2020-08-18,-15.0,-8.0,69.0,-47.0,-42.0,12.0
2020-08-19,-14.0,-7.0,68.0,-46.0,-43.0,11.0
2020-08-20,-16.0,-4.0,66.0,-45.0,-42.0,11.0
2020-08-21,-18.0,-6.0,71.0,-42.0,-41.0,10.0
2020-08-22,-20.0,-4.0,121.0,-25.0,-13.0,2.0
2020-08-23,-20.0,-9.0,118.0,-36.0,-17.0,3.0
2020-08-24,-19.0,-10.0,42.0,-47.0,-43.0,12.0
2020-08-25,-17.0,-8.0,51.0,-48.0,-43.0,12.0
2020-08-26,-17.0,-7.0,49.0,-46.0,-42.0,12.0
2020-08-27,-18.0,-4.0,45.0,-46.0,-41.0,12.0
2020-08-28,-20.0,-6.0,52.0,-43.0,-40.0,11.0
2020-08-29,-18.0,-2.0,129.0,-25.0,-12.0,1.0
2020-08-30,-17.0,-7.0,168.0,-33.0,-14.0,2.0
2020-08-31,-17.0,-9.0,54.0,-46.0,-42.0,11.0
2020-09-01,-18.0,-7.0,8.0,-48.0,-43.0,13.0
2020-09-02,-14.0,-3.0,68.0,-44.0,-41.0,11.0
2020-09-03,-14.0,1.0,64.0,-42.0,-41.0,11.0
2020-09-04,-15.0,-1.0,72.0,-38.0,-40.0,9.0
2020-09-05,-18.0,0.0,126.0,-25.0,-15.0,1.0
2020-09-06,-21.0,-7.0,87.0,-39.0,-19.0,2.0
2020-09-07,-21.0,-6.0,95.0,-55.0,-74.0,18.0
2020-09-08,-25.0,-12.0,-20.0,-50.0,-45.0,14.0
2020-09-09,-20.0,-8.0,14.0,-47.0,-42.0,13.0
2020-09-10,-21.0,-5.0,11.0,-47.0,-41.0,13.0
2020-09-11,-21.0,-7.0,32.0,-43.0,-39.0,11.0
2020-09-12,-21.0,-5.0,26.0,-32.0,-13.0,5.0
2020-09-13,-16.0,-5.0,169.0,-33.0,-12.0,2.0
2020-09-14,-19.0,-10.0,49.0,-47.0,-39.0,11.0
2020-09-15,-15.0,-7.0,62.0,-45.0,-39.0,11.0
2020-09-16,-15.0,-8.0,61.0,-43.0,-39.0,11.0
2020-09-17,-17.0,-4.0,46.0,-45.0,-39.0,12.0
2020-09-18,-18.0,-6.0,41.0,-42.0,-37.0,10.0
2020-09-19,-15.0,-2.0,105.0,-27.0,-10.0,1.0
2020-09-20,-17.0,-7.0,139.0,-35.0,-13.0,2.0
2020-09-21,-18.0,-9.0,42.0,-47.0,-40.0,11.0
2020-09-22,-17.0,-8.0,45.0,-47.0,-40.0,12.0
2020-09-23,-17.0,-8.0,42.0,-46.0,-39.0,12.0
2020-09-24,-18.0,-5.0,40.0,-46.0,-38.0,12.0
2020-09-25,-18.0,-6.0,51.0,-41.0,-37.0,10.0
2020-09-26,-17.0,-2.0,88.0,-27.0,-10.0,1.0
2020-09-27,-18.0,-7.0,107.0,-36.0,-12.0,2.0
2020-09-28,-21.0,-10.0,-9.0,-49.0,-40.0,12.0
2020-09-29,-18.0,-7.0,11.0,-48.0,-39.0,12.0
2020-09-30,-18.0,-7.0,10.0,-47.0,-39.0,12.0
2020-10-01,-19.0,-3.0,-8.0,-47.0,-37.0,12.0
2020-10-02,-19.0,-5.0,16.0,-41.0,-36.0,10.0
2020-10-03,-17.0,-1.0,39.0,-28.0,-10.0,3.0
2020-10-04,-18.0,-4.0,61.0,-35.0,-13.0,3.0
2020-10-05,-20.0,-8.0,15.0,-47.0,-39.0,11.0
2020-10-06,-19.0,-7.0,37.0,-47.0,-39.0,11.0
2020-10-07,-18.0,-7.0,41.0,-47.0,-38.0,11.0
2020-10-08,-20.0,-4.0,30.0,-45.0,-38.0,11.0
2020-10-09,-19.0,-6.0,53.0,-41.0,-37.0,10.0
2020-10-10,-18.0,-3.0,89.0,-26.0,-9.0,2.0
2020-10-11,-18.0,-7.0,111.0,-33.0,-11.0,2.0
2020-10-12,-23.0,-11.0,-13.0,-51.0,-45.0,13.0
2020-10-13,-21.0,-8.0,27.0,-45.0,-39.0,12.0
2020-10-14,-19.0,-7.0,30.0,-45.0,-38.0,12.0
2020-10-15,-21.0,-4.0,5.0,-44.0,-38.0,13.0
2020-10-16,-21.0,-7.0,1.0,-41.0,-37.0,11.0
2020-10-17,-18.0,-2.0,38.0,-26.0,-10.0,3.0
2020-10-18,-26.0,-12.0,-8.0,-38.0,-16.0,6.0
2020-10-19,-25.0,-12.0,-21.0,-47.0,-40.0,13.0
2020-10-20,-24.0,-10.0,-12.0,-47.0,-39.0,13.0
2020-10-21,-21.0,-8.0,5.0,-46.0,-38.0,13.0
2020-10-22,-21.0,-5.0,19.0,-44.0,-38.0,13.0
2020-10-23,-26.0,-11.0,-26.0,-46.0,-38.0,14.0
2020-10-24,-19.0,-1.0,38.0,-28.0,-10.0,4.0
2020-10-25,-22.0,-7.0,22.0,-37.0,-14.0,5.0
2020-10-26,-25.0,-12.0,-26.0,-48.0,-40.0,13.0
2020-10-27,-25.0,-11.0,-25.0,-49.0,-40.0,14.0
2020-10-28,-22.0,-7.0,-3.0,-48.0,-39.0,13.0
2020-10-29,-24.0,-5.0,-19.0,-48.0,-39.0,14.0
2020-10-30,-23.0,-2.0,-3.0,-44.0,-38.0,12.0
2020-10-31,-24.0,5.0,50.0,-30.0,-12.0,4.0
2020-11-01,-29.0,-7.0,-7.0,-40.0,-18.0,6.0
2020-11-02,-26.0,-8.0,-13.0,-49.0,-40.0,13.0
2020-11-03,-19.0,-3.0,49.0,-48.0,-43.0,13.0
2020-11-04,-26.0,-12.0,16.0,-49.0,-41.0,14.0
2020-11-05,-27.0,-7.0,14.0,-48.0,-39.0,14.0
2020-11-06,-25.0,-8.0,30.0,-45.0,-38.0,13.0
2020-11-07,-23.0,-3.0,79.0,-31.0,-11.0,4.0
2020-11-08,-24.0,-7.0,93.0,-39.0,-15.0,5.0
2020-11-09,-25.0,-10.0,21.0,-49.0,-40.0,13.0
2020-11-10,-30.0,-13.0,-13.0,-52.0,-41.0,15.0
2020-11-11,-25.0,-8.0,-21.0,-52.0,-44.0,16.0
2020-11-12,-28.0,-6.0,-13.0,-50.0,-41.0,15.0
2020-11-13,-29.0,-6.0,-17.0,-49.0,-40.0,15.0
2020-11-14,-29.0,-5.0,-12.0,-39.0,-14.0,8.0
2020-11-15,-35.0,-14.0,-32.0,-48.0,-21.0,8.0
2020-11-16,-31.0,-12.0,-23.0,-53.0,-42.0,14.0
2020-11-17,-31.0,-13.0,-27.0,-55.0,-43.0,16.0
2020-11-18,-29.0,-10.0,-24.0,-53.0,-42.0,16.0
2020-11-19,-29.0,-7.0,-7.0,-51.0,-42.0,15.0
2020-11-20,-31.0,-8.0,-1.0,-48.0,-40.0,15.0
2020-11-21,-30.0,-5.0,1.0,-36.0,-13.0,8.0
2020-11-22,-32.0,-9.0,-5.0,-46.0,-18.0,8.0
2020-11-23,-27.0,-5.0,-21.0,-54.0,-43.0,14.0
2020-11-24,-27.0,-2.0,-47.0,-54.0,-45.0,16.0
2020-11-25,-16.0,19.0,-41.0,-51.0,-47.0,15.0
2020-11-26,-67.0,-18.0,-32.0,-70.0,-81.0,27.0
2020-11-27,-37.0,-23.0,-17.0,-60.0,-63.0,22.0
2020-11-28,-33.0,-16.0,14.0,-40.0,-20.0,9.0
2020-11-29,-33.0,-17.0,6.0,-44.0,-20.0,8.0
2020-11-30,-31.0,-17.0,-43.0,-55.0,-44.0,16.0
2020-12-01,-29.0,-11.0,-37.0,-53.0,-43.0,16.0
2020-12-02,-27.0,-11.0,-23.0,-52.0,-42.0,16.0
2020-12-03,-29.0,-8.0,-26.0,-53.0,-42.0,16.0
2020-12-04,-30.0,-10.0,-20.0,-51.0,-40.0,15.0
2020-12-05,-28.0,-6.0,-7.0,-38.0,-11.0,7.0
2020-12-06,-32.0,-11.0,-15.0,-47.0,-18.0,8.0
2020-12-07,-30.0,-12.0,-34.0,-55.0,-42.0,15.0
2020-12-08,-30.0,-13.0,-37.0,-56.0,-41.0,16.0
2020-12-09,-26.0,-9.0,-12.0,-53.0,-41.0,15.0
2020-12-10,-28.0,-6.0,-7.0,-52.0,-41.0,15.0
2020-12-11,-33.0,-12.0,-38.0,-53.0,-40.0,16.0
2020-12-12,-31.0,-8.0,-37.0,-42.0,-13.0,8.0
2020-12-13,-29.0,-10.0,-1.0,-45.0,-17.0,7.0
2020-12-14,-29.0,-13.0,-35.0,-56.0,-42.0,15.0
2020-12-15,-28.0,-12.0,-38.0,-56.0,-42.0,15.0
2020-12-16,-27.0,-11.0,-39.0,-53.0,-42.0,16.0
2020-12-17,-28.0,-7.0,-36.0,-53.0,-41.0,16.0
2020-12-18,-28.0,-8.0,-30.0,-49.0,-40.0,14.0
2020-12-19,-25.0,-3.0,-5.0,-32.0,-11.0,6.0
2020-12-20,-24.0,-6.0,12.0,-39.0,-13.0,6.0
2020-12-21,-18.0,-2.0,-24.0,-51.0,-43.0,13.0
2020-12-22,-13.0,6.0,-19.0,-48.0,-44.0,13.0
2020-12-23,-6.0,22.0,-20.0,-45.0,-45.0,12.0
2020-12-24,-24.0,27.0,-46.0,-57.0,-63.0,19.0
2020-12-25,-81.0,-59.0,-57.0,-74.0,-84.0,29.0
2020-12-26,-40.0,-19.0,-20.0,-44.0,-27.0,10.0
2020-12-27,-37.0,-22.0,1.0,-44.0,-18.0,8.0
2020-12-28,-26.0,-12.0,-28.0,-54.0,-48.0,16.0
2020-12-29,-29.0,-12.0,-36.0,-54.0,-49.0,17.0
2020-12-30,-25.0,-4.0,-41.0,-52.0,-49.0,17.0
2020-12-31,-18.0,24.0,-34.0,-55.0,-57.0,17.0
