date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,8.0,0.0,25.0,1.0,2.0,-3
2020-02-16,2.0,-1.0,10.0,-6.0,0.0,0
2020-02-17,-8.0,-8.0,0.0,3.0,5.0,1
2020-02-18,-10.0,-12.0,1.0,1.0,5.0,1
2020-02-19,-11.0,-12.0,-5.0,-1.0,4.0,1
2020-02-20,-2.0,-5.0,1.0,2.0,4.0,-1
2020-02-21,-1.0,-7.0,0.0,5.0,4.0,-2
2020-02-22,-1.0,-7.0,-6.0,-5.0,2.0,-1
2020-02-23,-4.0,-5.0,-7.0,-10.0,-1.0,4
2020-02-24,-9.0,-11.0,-4.0,-1.0,5.0,1
2020-02-25,2.0,-2.0,0.0,4.0,5.0,-1
2020-02-26,2.0,0.0,1.0,7.0,5.0,-1
2020-02-27,10.0,7.0,5.0,9.0,5.0,-1
2020-02-28,14.0,9.0,14.0,21.0,4.0,-2
2020-02-29,24.0,15.0,5.0,13.0,4.0,-4
2020-03-01,23.0,20.0,7.0,11.0,6.0,0
2020-03-02,5.0,6.0,-8.0,11.0,6.0,2
2020-03-03,5.0,4.0,7.0,14.0,9.0,-1
2020-03-04,4.0,5.0,5.0,11.0,8.0,0
2020-03-05,7.0,8.0,5.0,11.0,8.0,0
2020-03-06,10.0,9.0,14.0,16.0,8.0,-2
2020-03-07,12.0,8.0,17.0,8.0,7.0,-2
2020-03-08,5.0,4.0,8.0,-3.0,4.0,2
2020-03-09,-5.0,-4.0,-2.0,2.0,7.0,1
2020-03-10,-6.0,-8.0,2.0,3.0,6.0,-1
2020-03-11,-7.0,-8.0,-3.0,-2.0,4.0,-1
2020-03-12,-2.0,-4.0,-1.0,-4.0,4.0,-2
2020-03-13,3.0,0.0,3.0,0.0,3.0,-3
2020-03-14,5.0,2.0,12.0,-6.0,4.0,-2
2020-03-15,0.0,1.0,3.0,-13.0,2.0,3
2020-03-16,-6.0,7.0,-13.0,-13.0,1.0,4
2020-03-17,-13.0,-4.0,-18.0,-16.0,-4.0,6
2020-03-18,-15.0,-5.0,-18.0,-20.0,-11.0,9
2020-03-19,-14.0,-4.0,-16.0,-24.0,-15.0,11
2020-03-20,-12.0,2.0,-14.0,-23.0,-17.0,10
2020-03-21,-22.0,-6.0,-23.0,-28.0,-17.0,8
2020-03-22,-29.0,-12.0,-34.0,-40.0,-12.0,10
2020-03-23,-19.0,-3.0,-26.0,-39.0,-24.0,13
2020-03-24,-5.0,21.0,-19.0,-32.0,-24.0,11
2020-03-25,11.0,38.0,-15.0,-24.0,-28.0,9
2020-03-26,21.0,68.0,-8.0,-30.0,-36.0,8
2020-03-27,-80.0,-61.0,-64.0,-82.0,-79.0,44
2020-03-28,-79.0,-60.0,-68.0,-80.0,-60.0,28
2020-03-29,-78.0,-60.0,-64.0,-81.0,-51.0,26
2020-03-30,-72.0,-50.0,-61.0,-81.0,-78.0,41
2020-03-31,-72.0,-48.0,-59.0,-80.0,-78.0,38
2020-04-01,-70.0,-43.0,-59.0,-79.0,-77.0,39
2020-04-02,-70.0,-42.0,-59.0,-80.0,-77.0,40
2020-04-03,-72.0,-43.0,-59.0,-80.0,-77.0,42
2020-04-04,-77.0,-54.0,-66.0,-78.0,-58.0,27
2020-04-05,-74.0,-50.0,-61.0,-78.0,-46.0,24
2020-04-06,-71.0,-46.0,-57.0,-80.0,-77.0,40
2020-04-07,-72.0,-45.0,-57.0,-79.0,-77.0,39
2020-04-08,-73.0,-45.0,-60.0,-82.0,-77.0,40
2020-04-09,-68.0,-34.0,-58.0,-81.0,-78.0,40
2020-04-10,-81.0,-60.0,-62.0,-85.0,-87.0,48
2020-04-11,-74.0,-45.0,-65.0,-79.0,-58.0,27
2020-04-12,-76.0,-53.0,-64.0,-81.0,-48.0,26
2020-04-13,-80.0,-59.0,-63.0,-85.0,-87.0,46
2020-04-14,-73.0,-47.0,-62.0,-82.0,-76.0,39
2020-04-15,-69.0,-39.0,-59.0,-81.0,-76.0,40
2020-04-16,-69.0,-38.0,-59.0,-81.0,-75.0,40
2020-04-17,-71.0,-38.0,-59.0,-80.0,-75.0,42
2020-04-18,-75.0,-48.0,-65.0,-77.0,-55.0,27
2020-04-19,-77.0,-51.0,-64.0,-80.0,-45.0,25
2020-04-20,-71.0,-45.0,-58.0,-80.0,-73.0,39
2020-04-21,-73.0,-46.0,-60.0,-79.0,-73.0,39
2020-04-22,-73.0,-45.0,-61.0,-81.0,-73.0,40
2020-04-23,-72.0,-42.0,-60.0,-81.0,-73.0,40
2020-04-24,-68.0,-34.0,-57.0,-79.0,-72.0,40
2020-04-25,-68.0,-34.0,-59.0,-74.0,-51.0,24
2020-04-26,-70.0,-39.0,-61.0,-78.0,-43.0,24
2020-04-27,-74.0,-48.0,-61.0,-83.0,-85.0,44
2020-04-28,-68.0,-40.0,-58.0,-78.0,-71.0,36
2020-04-29,-67.0,-36.0,-57.0,-77.0,-71.0,38
2020-04-30,-61.0,-25.0,-52.0,-74.0,-69.0,35
2020-05-01,-59.0,-27.0,-48.0,-72.0,-79.0,38
2020-05-02,-51.0,-20.0,-51.0,-60.0,-38.0,20
2020-05-03,-55.0,-26.0,-50.0,-65.0,-28.0,20
2020-05-04,-46.0,-20.0,-43.0,-62.0,-56.0,29
2020-05-05,-50.0,-24.0,-44.0,-62.0,-57.0,29
2020-05-06,-48.0,-19.0,-44.0,-60.0,-56.0,30
2020-05-07,-47.0,-17.0,-43.0,-61.0,-56.0,30
2020-05-08,-51.0,-19.0,-44.0,-66.0,-55.0,32
2020-05-09,-48.0,-15.0,-49.0,-61.0,-30.0,19
2020-05-10,-53.0,-22.0,-49.0,-68.0,-22.0,20
2020-05-11,-50.0,-29.0,-46.0,-64.0,-54.0,31
2020-05-12,-52.0,-29.0,-44.0,-62.0,-54.0,29
2020-05-13,-52.0,-27.0,-47.0,-63.0,-54.0,30
2020-05-14,-51.0,-25.0,-46.0,-64.0,-54.0,29
2020-05-15,-50.0,-21.0,-44.0,-62.0,-53.0,30
2020-05-16,-49.0,-20.0,-50.0,-57.0,-27.0,18
2020-05-17,-55.0,-27.0,-51.0,-67.0,-22.0,20
2020-05-18,-49.0,-29.0,-48.0,-64.0,-52.0,29
2020-05-19,-52.0,-31.0,-47.0,-63.0,-52.0,29
2020-05-20,-49.0,-25.0,-46.0,-62.0,-52.0,29
2020-05-21,-47.0,-22.0,-45.0,-63.0,-52.0,30
2020-05-22,-49.0,-21.0,-44.0,-62.0,-50.0,30
2020-05-23,-45.0,-16.0,-47.0,-56.0,-24.0,17
2020-05-24,-50.0,-23.0,-49.0,-65.0,-19.0,19
2020-05-25,-44.0,-22.0,-46.0,-61.0,-50.0,28
2020-05-26,-44.0,-21.0,-44.0,-59.0,-48.0,27
2020-05-27,-43.0,-18.0,-46.0,-60.0,-48.0,28
2020-05-28,-40.0,-14.0,-44.0,-59.0,-48.0,27
2020-05-29,-41.0,-11.0,-42.0,-56.0,-46.0,27
2020-05-30,-37.0,-5.0,-43.0,-47.0,-15.0,15
2020-05-31,-40.0,-9.0,-43.0,-56.0,-8.0,16
2020-06-01,-23.0,-1.0,-31.0,-48.0,-39.0,22
2020-06-02,-31.0,-11.0,-33.0,-48.0,-40.0,23
2020-06-03,-31.0,-8.0,-35.0,-49.0,-40.0,24
2020-06-04,-27.0,-2.0,-32.0,-50.0,-40.0,23
2020-06-05,-32.0,-8.0,-37.0,-48.0,-39.0,24
2020-06-06,-31.0,-6.0,-36.0,-43.0,-12.0,13
2020-06-07,-37.0,-13.0,-35.0,-54.0,-8.0,15
2020-06-08,-31.0,-12.0,-39.0,-50.0,-38.0,22
2020-06-09,-34.0,-14.0,-37.0,-49.0,-38.0,22
