date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,-1.0,-2.0,31.0,7.0,-1.0,-2.0
2020-02-16,3.0,4.0,34.0,4.0,0.0,-2.0
2020-02-17,1.0,3.0,10.0,4.0,4.0,-1.0
2020-02-18,-1.0,1.0,11.0,4.0,4.0,-1.0
2020-02-19,-1.0,1.0,18.0,2.0,4.0,-1.0
2020-02-20,-2.0,1.0,18.0,3.0,3.0,-1.0
2020-02-21,-2.0,1.0,22.0,5.0,4.0,-2.0
2020-02-22,-3.0,-1.0,53.0,10.0,1.0,-2.0
2020-02-23,4.0,6.0,56.0,6.0,2.0,-4.0
2020-02-24,4.0,6.0,35.0,6.0,4.0,-2.0
2020-02-25,-2.0,6.0,15.0,4.0,4.0,-1.0
2020-02-26,2.0,6.0,17.0,3.0,4.0,-1.0
2020-02-27,4.0,6.0,22.0,6.0,3.0,-2.0
2020-02-28,0.0,3.0,29.0,1.0,-12.0,0.0
2020-02-29,-9.0,-1.0,-6.0,-3.0,-2.0,-1.0
2020-03-01,-4.0,1.0,-18.0,-4.0,1.0,-2.0
2020-03-02,0.0,2.0,-13.0,-5.0,-15.0,1.0
2020-03-03,-6.0,4.0,-6.0,0.0,3.0,-1.0
2020-03-04,-2.0,5.0,10.0,1.0,3.0,-1.0
2020-03-05,-4.0,3.0,-5.0,-2.0,3.0,0.0
2020-03-06,-4.0,4.0,-3.0,-1.0,1.0,0.0
2020-03-07,-4.0,1.0,17.0,2.0,-1.0,-1.0
2020-03-08,-1.0,5.0,24.0,2.0,-1.0,-1.0
2020-03-09,-1.0,13.0,19.0,0.0,1.0,-1.0
2020-03-10,-7.0,46.0,15.0,-7.0,-1.0,0.0
2020-03-11,-16.0,22.0,25.0,-21.0,-21.0,8.0
2020-03-12,-32.0,22.0,-1.0,-33.0,-28.0,12.0
2020-03-13,-47.0,29.0,-33.0,-46.0,-37.0,17.0
2020-03-14,-82.0,-15.0,-56.0,-65.0,-46.0,18.0
2020-03-15,-89.0,-42.0,-83.0,-77.0,-53.0,19.0
2020-03-16,-82.0,-35.0,-80.0,-75.0,-65.0,29.0
2020-03-17,-85.0,-38.0,-82.0,-79.0,-69.0,31.0
2020-03-18,-86.0,-39.0,-82.0,-81.0,-71.0,33.0
2020-03-19,-87.0,-41.0,-83.0,-82.0,-73.0,35.0
2020-03-20,-89.0,-43.0,-86.0,-83.0,-73.0,38.0
2020-03-21,-93.0,-55.0,-92.0,-87.0,-66.0,26.0
2020-03-22,-93.0,-66.0,-92.0,-88.0,-66.0,23.0
2020-03-23,-86.0,-47.0,-85.0,-83.0,-75.0,33.0
2020-03-24,-88.0,-50.0,-86.0,-84.0,-76.0,35.0
2020-03-25,-89.0,-52.0,-86.0,-85.0,-77.0,36.0
2020-03-26,-89.0,-52.0,-86.0,-85.0,-77.0,37.0
2020-03-27,-90.0,-51.0,-88.0,-86.0,-77.0,40.0
2020-03-28,-93.0,-57.0,-91.0,-87.0,-68.0,27.0
2020-03-29,-94.0,-72.0,-92.0,-89.0,-65.0,22.0
2020-03-30,-89.0,-56.0,-88.0,-87.0,-82.0,36.0
2020-03-31,-92.0,-59.0,-89.0,-88.0,-83.0,37.0
2020-04-01,-91.0,-51.0,-87.0,-87.0,-83.0,38.0
2020-04-02,-91.0,-51.0,-87.0,-87.0,-83.0,39.0
2020-04-03,-90.0,-49.0,-88.0,-87.0,-82.0,41.0
2020-04-04,-93.0,-56.0,-91.0,-88.0,-69.0,27.0
2020-04-05,-94.0,-73.0,-92.0,-90.0,-69.0,23.0
2020-04-06,-88.0,-50.0,-86.0,-86.0,-82.0,36.0
2020-04-07,-91.0,-36.0,-86.0,-86.0,-82.0,36.0
2020-04-08,-90.0,-25.0,-84.0,-85.0,-82.0,36.0
2020-04-09,-95.0,-78.0,-91.0,-92.0,-92.0,43.0
2020-04-10,-96.0,-86.0,-92.0,-93.0,-92.0,46.0
