date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,9.0,9.0,11.0,3.0,9.0,-1.0
2020-02-16,3.0,8.0,11.0,2.0,3.0,1.0
2020-02-17,1.0,5.0,3.0,6.0,16.0,-2.0
2020-02-18,0.0,6.0,5.0,13.0,20.0,-2.0
2020-02-19,-5.0,-2.0,1.0,8.0,13.0,-2.0
2020-02-20,-4.0,-3.0,-4.0,0.0,8.0,-1.0
2020-02-21,-2.0,1.0,3.0,12.0,15.0,-1.0
2020-02-22,-1.0,-1.0,2.0,3.0,7.0,0.0
2020-02-23,-12.0,-8.0,-16.0,-7.0,-2.0,3.0
2020-02-24,-4.0,-1.0,-2.0,11.0,16.0,-1.0
2020-02-25,-4.0,1.0,-2.0,15.0,20.0,-1.0
2020-02-26,-4.0,0.0,1.0,13.0,13.0,-2.0
2020-02-27,-2.0,0.0,-2.0,6.0,13.0,-3.0
2020-02-28,7.0,10.0,8.0,14.0,20.0,-3.0
2020-02-29,12.0,12.0,8.0,8.0,10.0,-2.0
2020-03-01,11.0,17.0,13.0,6.0,3.0,0.0
2020-03-02,5.0,8.0,3.0,14.0,18.0,-3.0
2020-03-03,6.0,12.0,4.0,20.0,22.0,-3.0
2020-03-04,2.0,8.0,7.0,12.0,15.0,-3.0
2020-03-05,5.0,9.0,9.0,9.0,14.0,-4.0
2020-03-06,4.0,8.0,10.0,17.0,21.0,-3.0
2020-03-07,4.0,5.0,6.0,4.0,10.0,0.0
2020-03-08,4.0,4.0,-2.0,2.0,2.0,2.0
2020-03-09,-1.0,3.0,-1.0,10.0,17.0,-2.0
2020-03-10,-4.0,1.0,-4.0,20.0,21.0,-2.0
2020-03-11,-5.0,3.0,0.0,13.0,13.0,-2.0
2020-03-12,-6.0,5.0,-1.0,4.0,12.0,-2.0
2020-03-13,-6.0,5.0,-3.0,9.0,16.0,-1.0
2020-03-14,-6.0,9.0,-3.0,-3.0,9.0,3.0
