date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,2.0,3.0,16.0,5.0,6,0
2020-02-16,-10.0,-10.0,-15.0,-3.0,2,2
2020-02-17,-2.0,-1.0,-6.0,2.0,4,1
2020-02-18,-1.0,1.0,-3.0,3.0,3,1
2020-02-19,-1.0,-3.0,-2.0,3.0,3,1
2020-02-20,-2.0,-1.0,-2.0,5.0,2,1
2020-02-21,6.0,4.0,18.0,5.0,6,0
2020-02-22,2.0,3.0,11.0,5.0,6,0
2020-02-23,-7.0,-4.0,-11.0,-1.0,1,2
2020-02-24,-2.0,-1.0,-3.0,0.0,3,1
2020-02-25,-17.0,-7.0,-17.0,-12.0,-24,10
2020-02-26,2.0,5.0,3.0,4.0,3,-1
2020-02-27,2.0,5.0,1.0,4.0,4,0
2020-02-28,9.0,12.0,7.0,8.0,6,0
2020-02-29,5.0,12.0,-1.0,9.0,8,-1
2020-03-01,4.0,10.0,-11.0,6.0,6,0
2020-03-02,6.0,24.0,5.0,5.0,6,-1
2020-03-03,3.0,17.0,-1.0,3.0,5,0
2020-03-04,-2.0,4.0,-8.0,1.0,4,1
2020-03-05,3.0,8.0,1.0,4.0,5,0
2020-03-06,10.0,11.0,19.0,5.0,8,0
2020-03-07,4.0,12.0,15.0,6.0,7,-1
2020-03-08,0.0,6.0,1.0,3.0,6,0
2020-03-09,3.0,6.0,7.0,3.0,5,1
2020-03-10,1.0,6.0,2.0,3.0,4,1
2020-03-11,1.0,3.0,3.0,2.0,4,1
2020-03-12,-3.0,-2.0,-7.0,1.0,3,2
2020-03-13,8.0,9.0,16.0,2.0,5,1
2020-03-14,-12.0,2.0,-17.0,-8.0,5,2
2020-03-15,-20.0,3.0,-37.0,-19.0,5,4
2020-03-16,-18.0,-5.0,-23.0,-18.0,-10,7
2020-03-17,-16.0,3.0,-23.0,-27.0,-15,8
2020-03-18,-22.0,-3.0,-28.0,-32.0,-19,11
2020-03-19,-28.0,-12.0,-33.0,-38.0,-21,12
2020-03-20,-30.0,-11.0,-32.0,-42.0,-23,15
2020-03-21,-35.0,-5.0,-38.0,-40.0,-10,11
2020-03-22,-49.0,-22.0,-59.0,-49.0,-12,14
2020-03-23,-40.0,-19.0,-43.0,-53.0,-34,18
2020-03-24,-43.0,-18.0,-46.0,-56.0,-40,19
2020-03-25,-54.0,-29.0,-55.0,-69.0,-69,28
2020-03-26,-47.0,-24.0,-46.0,-60.0,-43,20
2020-03-27,-46.0,-17.0,-43.0,-61.0,-44,22
2020-03-28,-54.0,-21.0,-51.0,-58.0,-31,17
2020-03-29,-59.0,-28.0,-63.0,-60.0,-26,17
