date,new_deaths,new_cases
2020-03-01,0,23
2020-03-02,0,39
2020-03-03,1,39
2020-03-04,0,57
2020-03-05,1,116
2020-03-06,2,167
2020-03-07,1,180
2020-03-08,10,220
2020-03-09,10,431
2020-03-10,25,660
2020-03-11,25,836
2020-03-12,39,975
2020-03-13,48,889
2020-03-14,64,899
2020-03-15,79,816
2020-03-16,110,1414
2020-03-17,108,2067
2020-03-18,117,1849
2020-03-19,157,2378
2020-03-20,210,2310
2020-03-21,237,1941
2020-03-22,235,1678
2020-03-23,276,2881
2020-03-24,287,3328
2020-03-25,293,3216
2020-03-26,298,3252
2020-03-27,334,2346
2020-03-28,275,1247
2020-03-29,245,887
2020-03-30,237,2279
2020-03-31,249,1902
2020-04-01,264,1592
2020-04-02,255,1929
2020-04-03,183,1857
2020-04-04,145,879
2020-04-05,194,597
2020-04-06,192,1588
2020-04-07,169,1355
2020-04-08,178,1399
2020-04-09,124,925
2020-04-10,159,956
2020-04-11,140,633
2020-04-12,125,406
2020-04-13,142,937
2020-04-14,136,1022
2020-04-15,127,847
2020-04-16,113,821
2020-04-17,106,842
2020-04-18,95,524
2020-04-19,98,231
2020-04-20,100,675
2020-04-21,98,640
2020-04-22,84,745
2020-04-23,81,497
2020-04-24,81,598
2020-04-25,65,255
2020-04-26,58,151
2020-04-27,53,647
2020-04-28,46,569
2020-04-29,56,456
2020-04-30,53,338
2020-05-01,39,150
2020-05-02,50,138
2020-05-03,41,156
2020-05-04,47,375
2020-05-05,34,303
2020-05-06,34,283
2020-05-07,45,273
2020-05-08,40,235
2020-05-09,42,86
2020-05-10,21,57
2020-05-11,31,224
2020-05-12,32,275
2020-05-13,22,248
2020-05-14,22,255
2020-05-15,23,189
2020-05-16,19,31
2020-05-17,15,51
2020-05-18,26,163
2020-05-19,20,231
2020-05-20,16,224
2020-05-21,16,186
2020-05-22,20,131
2020-05-23,19,45
2020-05-24,23,18
2020-05-25,26,119
2020-05-26,23,219
2020-05-27,17,167
2020-05-28,16,170
2020-05-29,15,202
2020-05-30,7,49
2020-05-31,14,50
2020-06-01,13,149
2020-06-02,19,179
2020-06-03,17,224
2020-06-04,17,159
2020-06-05,10,176
2020-06-06,13,88
2020-06-07,7,24
2020-06-08,10,127
2020-06-09,6,137
2020-06-10,10,152
2020-06-11,14,133
2020-06-12,13,190
2020-06-13,9,15
2020-06-14,10,18
2020-06-15,4,136
2020-06-16,6,135
